id,name,price,category,image,rating,description
205,老板扫地机器人,2460.26,home,https://picsum.photos/seed/205/400/300,4.2,【产品特色】老板扫地机器人，除菌除螨，静音变频节能…
206,旺仔坚果礼包,24.65,food,https://picsum.photos/seed/206/400/300,4.8,【产品特色】旺仔坚果礼包，草莓味酸甜可口，饭后解腻…
207,康师傅沙琪玛,6.27,food,https://picsum.photos/seed/207/400/300,4.3,【产品特色】康师傅沙琪玛，提神抗疲劳，加班运动必备…
208,李宁睡袋,885.87,sports,https://picsum.photos/seed/208/400/300,4.1,【产品特色】李宁睡袋，大容量分层，背负系统减负…
209,雅漾乳液,327.12,cosmetics,https://picsum.photos/seed/209/400/300,4.1,【产品特色】雅漾乳液，自然服帖，遮瑕持妆…
210,北面冲锋裤,1040.21,sports,https://picsum.photos/seed/210/400/300,4.4,【产品特色】北面冲锋裤，缓震透气，适合长跑与日常通勤…
211,香奈儿爽肤水,1582.49,cosmetics,https://picsum.photos/seed/211/400/300,4.7,【产品特色】香奈儿爽肤水，提亮修护，深入肌底促吸收…
212,兰蔻粉底液,1412.39,cosmetics,https://picsum.photos/seed/212/400/300,4.4,【产品特色】兰蔻粉底液，修饰黄皮，提亮肤色隐形毛孔…
213,飞利浦破壁机,2109.72,home,https://picsum.photos/seed/213/400/300,4.2,【产品特色】飞利浦破壁机，上下独立控温，烘焙蛋糕披萨…
214,资生堂粉底液,1551.34,cosmetics,https://picsum.photos/seed/214/400/300,4.7,【产品特色】资生堂粉底液，修饰黄皮，提亮肤色隐形毛孔…
215,海蓝之谜喷雾,378.71,cosmetics,https://picsum.photos/seed/215/400/300,4.7,【产品特色】海蓝之谜喷雾，修饰黄皮，提亮肤色隐形毛孔…
216,匡威瑜伽垫,1661.58,sports,https://picsum.photos/seed/216/400/300,4.7,【产品特色】匡威瑜伽垫，宽松速干，适合篮球健身训练…
217,飞利浦破壁机,1825.09,home,https://picsum.photos/seed/217/400/300,4.7,【产品特色】飞利浦破壁机，多档风速，定时摇头送风广…
218,农夫山泉酸酸乳,81,food,https://picsum.photos/seed/218/400/300,4.7,【产品特色】农夫山泉酸酸乳，大颗粒入味，口感酥脆不脏手…
219,科颜氏乳液,1677.14,cosmetics,https://picsum.photos/seed/219/400/300,4.6,【产品特色】科颜氏乳液，补水不黏腻，维稳肌肤状态…
